,size,instance,depth,edge_prob,diag_time,sim_time
0,6,0,1,0.2,0.00010433299758005887,2.1124997147126123e-05
1,6,0,2,0.2,0.00010433299758005887,1.6332996892742813e-05
2,6,0,4,0.2,0.00010433299758005887,1.9084000086877495e-05
3,6,0,8,0.2,0.00010433299758005887,1.9167000573361292e-05
4,6,0,16,0.2,0.00010433299758005887,2.28749995585531e-05
5,6,0,1,0.4,2.7042002329835668e-05,1.1625001206994057e-05
6,6,0,2,0.4,2.7042002329835668e-05,1.1416999768698588e-05
7,6,0,4,0.4,2.7042002329835668e-05,1.5833000361453742e-05
8,6,0,8,0.4,2.7042002329835668e-05,1.8958999135065824e-05
9,6,0,16,0.4,2.7042002329835668e-05,2.800000220304355e-05
10,6,0,1,0.6,2.683300044736825e-05,9.957999282050878e-06
11,6,0,2,0.6,2.683300044736825e-05,1.06250008684583e-05
12,6,0,4,0.6,2.683300044736825e-05,1.737500133458525e-05
13,6,0,8,0.6,2.683300044736825e-05,1.937500201165676e-05
14,6,0,16,0.6,2.683300044736825e-05,3.8333000702550635e-05
15,6,0,1,0.8,2.4125001800712198e-05,9.915998816723004e-06
16,6,0,2,0.8,2.4125001800712198e-05,1.0458003089297563e-05
17,6,0,4,0.8,2.4125001800712198e-05,1.5208002878353e-05
18,6,0,8,0.8,2.4125001800712198e-05,1.8583003111416474e-05
19,6,0,16,0.8,2.4125001800712198e-05,2.7415997465141118e-05
20,6,1,1,0.2,1.974999759113416e-05,9.79100150289014e-06
21,6,1,2,0.2,1.974999759113416e-05,1.0374998964834958e-05
22,6,1,4,0.2,1.974999759113416e-05,1.3542001397581771e-05
23,6,1,8,0.2,1.974999759113416e-05,1.5915997209958732e-05
24,6,1,16,0.2,1.974999759113416e-05,2.6458998036105186e-05
25,6,1,1,0.4,1.9582999811973423e-05,9.832998330239207e-06
26,6,1,2,0.4,1.9582999811973423e-05,1.0125000699190423e-05
27,6,1,4,0.4,1.9582999811973423e-05,1.3042001228313893e-05
28,6,1,8,0.4,1.9582999811973423e-05,1.82919975486584e-05
29,6,1,16,0.4,1.9582999811973423e-05,2.704199869185686e-05
30,6,1,1,0.6,2.216700158896856e-05,9.291998139815405e-06
31,6,1,2,0.6,2.216700158896856e-05,9.915998816723004e-06
32,6,1,4,0.6,2.216700158896856e-05,1.3791999663226306e-05
33,6,1,8,0.6,2.216700158896856e-05,1.9916999008273706e-05
