,size,instance,depth,edge_prob,diag_time,sim_time
0,6,0,1,0.2,0.00011612500020419247,0.37669629200172494
1,6,0,2,0.2,0.00011612500020419247,0.0008942499989643693
2,6,0,4,0.2,0.00011612500020419247,0.002553708000050392
3,6,0,8,0.2,0.00011612500020419247,0.00461929099765257
4,6,0,16,0.2,0.00011612500020419247,0.0084424160013441
5,6,0,1,0.4,0.0002251250007248018,0.0004939579994243104
6,6,0,2,0.4,0.0002251250007248018,0.0008815000001050066
7,6,0,4,0.4,0.0002251250007248018,0.00192116700054612
8,6,0,8,0.4,0.0002251250007248018,0.0034564580018923152
9,6,0,16,0.4,0.0002251250007248018,0.006801958999858471
10,6,0,1,0.6,0.00027708400011761114,0.0005982500006211922
11,6,0,2,0.6,0.00027708400011761114,0.0010226669983239844
12,6,0,4,0.6,0.00027708400011761114,0.001711999997496605
13,6,0,8,0.6,0.00027708400011761114,0.003126458002952859
14,6,0,16,0.6,0.00027708400011761114,0.006299959000898525
15,6,0,1,0.8,0.00024983299954328686,0.0004970420013705734
16,6,0,2,0.8,0.00024983299954328686,0.000901999999769032
17,6,0,4,0.8,0.00024983299954328686,0.0013757080014329404
18,6,0,8,0.8,0.00024983299954328686,0.002801665999868419
19,6,0,16,0.8,0.00024983299954328686,0.005739917000028072
20,6,1,1,0.2,7.741599984001368e-05,0.00042595799823175184
21,6,1,2,0.2,7.741599984001368e-05,0.0008716670017747674
22,6,1,4,0.2,7.741599984001368e-05,0.0013241250017017592
23,6,1,8,0.2,7.741599984001368e-05,0.0027191669978492428
24,6,1,16,0.2,7.741599984001368e-05,0.005080625000118744
25,6,1,1,0.4,9.970899918698706e-05,0.000379083001462277
26,6,1,2,0.4,9.970899918698706e-05,0.0007482500004698522
27,6,1,4,0.4,9.970899918698706e-05,0.0012433749980118591
28,6,1,8,0.4,9.970899918698706e-05,0.0025214170018443838
29,6,1,16,0.4,9.970899918698706e-05,0.005060125000454718
30,6,1,1,0.6,0.00012162499842816032,0.00033016700035659596
31,6,1,2,0.6,0.00012162499842816032,0.0006409170018741861
32,6,1,4,0.6,0.00012162499842816032,0.0011570409988053143
33,6,1,8,0.6,0.00012162499842816032,0.0014418329992622603
34,6,1,16,0.6,0.00012162499842816032,0.002807542001391994
35,6,1,1,0.8,0.0001787919973139651,0.00023724999846308492
36,6,1,2,0.8,0.0001787919973139651,0.0003554169998096768
37,6,1,4,0.8,0.0001787919973139651,0.000701167002262082
38,6,1,8,0.8,0.0001787919973139651,0.001370999998471234
39,6,1,16,0.8,0.0001787919973139651,0.002722542001720285
40,6,2,1,0.2,7.908300176495686e-05,0.00018491700029699132
41,6,2,2,0.2,7.908300176495686e-05,0.0003321670010336675
42,6,2,4,0.2,7.908300176495686e-05,0.0006312920013442636
43,6,2,8,0.2,7.908300176495686e-05,0.0012607079988811165
44,6,2,16,0.2,7.908300176495686e-05,0.0024699169989617076
45,6,2,1,0.4,5.6542001402704045e-05,0.00017300000035902485
46,6,2,2,0.4,5.6542001402704045e-05,0.00032841600113897584
47,6,2,4,0.4,5.6542001402704045e-05,0.0006568330027221236
48,6,2,8,0.4,5.6542001402704045e-05,0.0013697909998882096
49,6,2,16,0.4,5.6542001402704045e-05,0.0026643749988579657
50,6,2,1,0.6,0.0001160829997388646,0.00017774999651010148
51,6,2,2,0.6,0.0001160829997388646,0.00034737500027404167
52,6,2,4,0.6,0.0001160829997388646,0.0006373340002028272
53,6,2,8,0.6,0.0001160829997388646,0.001287874998524785
54,6,2,16,0.6,0.0001160829997388646,0.0025534590022289194
55,6,2,1,0.8,0.0001449999981559813,0.0003066669996769633
56,6,2,2,0.8,0.0001449999981559813,0.00037120799970580265
57,6,2,4,0.8,0.0001449999981559813,0.0006424169987440109
58,6,2,8,0.8,0.0001449999981559813,0.001268957999855047
59,6,2,16,0.8,0.0001449999981559813,0.0025422919970878866
60,6,3,1,0.2,4.374999844003469e-05,0.00017429199942853302
61,6,3,2,0.2,4.374999844003469e-05,0.00033933300073840655
62,6,3,4,0.2,4.374999844003469e-05,0.0006676669981970917
63,6,3,8,0.2,4.374999844003469e-05,0.0012731250026263297
