,size,instance,depth,diag_time,sim_time
0,6,0,1,4.483300290303305e-05,2.5417000870220363e-05
1,6,0,2,4.483300290303305e-05,1.8332997569814324e-05
2,6,0,4,4.483300290303305e-05,1.7207996279466897e-05
3,6,0,6,4.483300290303305e-05,2.112500078510493e-05
4,6,0,8,4.483300290303305e-05,2.4583998310845345e-05
5,6,0,16,4.483300290303305e-05,4.1707993659656495e-05
6,6,1,1,1.8499995348975062e-05,1.0709001799114048e-05
7,6,1,2,1.8499995348975062e-05,1.3584001862909645e-05
8,6,1,4,1.8499995348975062e-05,3.579199983505532e-05
9,6,1,6,1.8499995348975062e-05,2.0125000446569175e-05
10,6,1,8,1.8499995348975062e-05,2.487500023562461e-05
11,6,1,16,1.8499995348975062e-05,4.058299964526668e-05
12,6,2,1,1.4083001588005573e-05,9.584000508766621e-06
13,6,2,2,1.4083001588005573e-05,1.083400275092572e-05
14,6,2,4,1.4083001588005573e-05,1.5457997506018728e-05
15,6,2,6,1.4083001588005573e-05,2.004199632210657e-05
16,6,2,8,1.4083001588005573e-05,2.3832995793782175e-05
17,6,2,16,1.4083001588005573e-05,4.062499647261575e-05
18,6,3,1,1.2750002497341484e-05,9.374998626299202e-06
19,6,3,2,1.2750002497341484e-05,1.0583004041109234e-05
20,6,3,4,1.2750002497341484e-05,1.55829984578304e-05
21,6,3,6,1.2750002497341484e-05,1.9874998542945832e-05
22,6,3,8,1.2750002497341484e-05,2.4000000848900527e-05
23,6,3,16,1.2750002497341484e-05,3.883300087181851e-05
24,6,4,1,1.1916999937966466e-05,9.20799357118085e-06
25,6,4,2,1.1916999937966466e-05,1.3624994608107954e-05
26,6,4,4,1.1916999937966466e-05,1.9334001990500838e-05
27,6,4,6,1.1916999937966466e-05,2.0166000467725098e-05
28,6,4,8,1.1916999937966466e-05,2.4374996428377926e-05
29,6,4,16,1.1916999937966466e-05,4.179200186626986e-05
30,6,5,1,1.2083997717127204e-05,9.499999578110874e-06
31,6,5,2,1.2083997717127204e-05,1.1417003406677395e-05
32,6,5,4,1.2083997717127204e-05,1.575000351294875e-05
33,6,5,6,1.2083997717127204e-05,1.945799886016175e-05
34,6,5,8,1.2083997717127204e-05,2.4582994228694588e-05
35,6,5,16,1.2083997717127204e-05,4.033299774164334e-05
36,6,6,1,1.2166005035396665e-05,8.916998922359198e-06
37,6,6,2,1.2166005035396665e-05,1.129199517890811e-05
38,6,6,4,1.2166005035396665e-05,1.562500256113708e-05
39,6,6,6,1.2166005035396665e-05,1.9041995983570814e-05
40,6,6,8,1.2166005035396665e-05,2.3083004634827375e-05
41,6,6,16,1.2166005035396665e-05,4.049999552080408e-05
42,6,7,1,1.4041994290892035e-05,9.165996743831784e-06
43,6,7,2,1.4041994290892035e-05,1.0915995517279953e-05
44,6,7,4,1.4041994290892035e-05,1.587499718880281e-05
45,6,7,6,1.4041994290892035e-05,2.016699727391824e-05
46,6,7,8,1.4041994290892035e-05,2.4458997359033674e-05
47,6,7,16,1.4041994290892035e-05,3.9667000237386674e-05
48,6,8,1,1.2500000593718141e-05,9.41699545364827e-06
49,6,8,2,1.2500000593718141e-05,1.2875003449153155e-05
50,6,8,4,1.2500000593718141e-05,1.575000351294875e-05
51,6,8,6,1.2500000593718141e-05,2.0290994143579155e-05
52,6,8,8,1.2500000593718141e-05,2.1666994143743068e-05
53,6,8,16,1.2500000593718141e-05,4.0083999920170754e-05
54,6,9,1,1.237499964190647e-05,8.957998943515122e-06
55,6,9,2,1.237499964190647e-05,3.429199568927288e-05
56,6,9,4,1.237499964190647e-05,2.391599991824478e-05
57,6,9,6,1.237499964190647e-05,2.0916995708830655e-05
58,6,9,8,1.237499964190647e-05,2.4458997359033674e-05
59,6,9,16,1.237499964190647e-05,3.970899706473574e-05
60,8,0,1,2.1874999220017344e-05,1.6917001630645245e-05
61,8,0,2,2.1874999220017344e-05,2.5583001843187958e-05
62,8,0,4,2.1874999220017344e-05,7.30419997125864e-05
63,8,0,6,2.1874999220017344e-05,6.337499507935718e-05
64,8,0,8,2.1874999220017344e-05,8.445799903711304e-05
65,8,0,16,2.1874999220017344e-05,0.00016170899471035227
66,8,1,1,1.8459002603776753e-05,1.4666999049950391e-05
67,8,1,2,1.8459002603776753e-05,2.508400211809203e-05
68,8,1,4,1.8459002603776753e-05,4.441599594429135e-05
69,8,1,6,1.8459002603776753e-05,6.28749985480681e-05
70,8,1,8,1.8459002603776753e-05,8.48339986987412e-05
