,size,instance,depth,diag_time,sim_time
0,6,0,1,0.0004152080000494607,2.3499997041653842e-05
1,6,0,2,0.0004152080000494607,1.0666997695807368e-05
2,6,0,4,0.0004152080000494607,1.4999997802078724e-05
3,6,0,6,0.0004152080000494607,1.4833000022917986e-05
4,6,0,8,0.0004152080000494607,1.2875003449153155e-05
5,6,0,16,0.0004152080000494607,1.9708000763785094e-05
6,6,1,1,2.3667002096772194e-05,7.834001735318452e-06
7,6,1,2,2.3667002096772194e-05,9.540999599266797e-06
8,6,1,4,2.3667002096772194e-05,1.0957999620586634e-05
9,6,1,6,2.3667002096772194e-05,1.058299676515162e-05
10,6,1,8,2.3667002096772194e-05,1.3999997463542968e-05
11,6,1,16,2.3667002096772194e-05,1.8916995031759143e-05
12,6,2,1,1.6457997844554484e-05,7.457994797732681e-06
13,6,2,2,1.6457997844554484e-05,7.333001121878624e-06
14,6,2,4,1.6457997844554484e-05,8.792005246505141e-06
15,6,2,6,1.6457997844554484e-05,1.1916999937966466e-05
16,6,2,8,1.6457997844554484e-05,1.2790995242539793e-05
17,6,2,16,1.6457997844554484e-05,1.8958999135065824e-05
18,6,3,1,1.5375000657513738e-05,7.708003977313638e-06
19,6,3,2,1.5375000657513738e-05,7.124996045604348e-06
20,6,3,4,1.5375000657513738e-05,1.0167001164518297e-05
21,6,3,6,1.5375000657513738e-05,1.2500000593718141e-05
22,6,3,8,1.5375000657513738e-05,1.279199932469055e-05
23,6,3,16,1.5375000657513738e-05,1.7958001990336925e-05
24,6,4,1,1.3624994608107954e-05,6.624999514315277e-06
25,6,4,2,1.3624994608107954e-05,8.292001439258456e-06
26,6,4,4,1.3624994608107954e-05,1.020800118567422e-05
27,6,4,6,1.3624994608107954e-05,1.1208001524209976e-05
28,6,4,8,1.3624994608107954e-05,1.2999997125007212e-05
29,6,4,16,1.3624994608107954e-05,1.92909938050434e-05
30,6,5,1,1.879199407994747e-05,7.4590061558410525e-06
31,6,5,2,1.879199407994747e-05,7.125003321561962e-06
32,6,5,4,1.879199407994747e-05,9.208000847138464e-06
33,6,5,6,1.879199407994747e-05,1.0957999620586634e-05
34,6,5,8,1.879199407994747e-05,1.237499964190647e-05
35,6,5,16,1.879199407994747e-05,1.8874998204410076e-05
36,6,6,1,1.391599653288722e-05,7.167000148911029e-06
37,6,6,2,1.391599653288722e-05,7.458002073690295e-06
38,6,6,4,1.391599653288722e-05,8.75000114319846e-06
39,6,6,6,1.391599653288722e-05,9.290997695643455e-06
40,6,6,8,1.391599653288722e-05,1.1333002476021647e-05
41,6,6,16,1.391599653288722e-05,2.033300552284345e-05
42,6,7,1,1.6707999748177826e-05,6.333000783342868e-06
43,6,7,2,1.6707999748177826e-05,6.54099858365953e-06
44,6,7,4,1.6707999748177826e-05,1.0040996130555868e-05
45,6,7,6,1.6707999748177826e-05,9.875002433545887e-06
46,6,7,8,1.6707999748177826e-05,1.2958000297658145e-05
47,6,7,16,1.6707999748177826e-05,1.7334001313429326e-05
48,6,8,1,1.4749995898455381e-05,6.499998562503606e-06
49,6,8,2,1.4749995898455381e-05,8.916998922359198e-06
50,6,8,4,1.4749995898455381e-05,8.875002095010132e-06
51,6,8,6,1.4749995898455381e-05,1.049999991664663e-05
52,6,8,8,1.4749995898455381e-05,1.0875002772081643e-05
53,6,8,16,1.4749995898455381e-05,1.6582998796366155e-05
54,6,9,1,1.4290999388322234e-05,5.875001079402864e-06
55,6,9,2,1.4290999388322234e-05,7.624999852851033e-06
56,6,9,4,1.4290999388322234e-05,1.1500000255182385e-05
57,6,9,6,1.4290999388322234e-05,9.542003681417555e-06
58,6,9,8,1.4290999388322234e-05,1.091699959943071e-05
59,6,9,16,1.4290999388322234e-05,7.979200017871335e-05
60,8,0,1,2.4000000848900527e-05,1.1042000551242381e-05
61,8,0,2,2.4000000848900527e-05,1.5083998732734472e-05
62,8,0,4,2.4000000848900527e-05,1.8332997569814324e-05
63,8,0,6,2.4000000848900527e-05,2.5583001843187958e-05
64,8,0,8,2.4000000848900527e-05,3.795800148509443e-05
65,8,0,16,2.4000000848900527e-05,6.633399607380852e-05
66,8,1,1,1.845800579758361e-05,8.749993867240846e-06
67,8,1,2,1.845800579758361e-05,1.1625001206994057e-05
68,8,1,4,1.845800579758361e-05,2.033399505307898e-05
69,8,1,6,1.845800579758361e-05,2.2084001102484763e-05
70,8,1,8,1.845800579758361e-05,3.287500294391066e-05
71,8,1,16,1.845800579758361e-05,6.812500214437023e-05
72,8,2,1,1.766700006555766e-05,9.292001777794212e-06
73,8,2,2,1.766700006555766e-05,1.2875003449153155e-05
74,8,2,4,1.766700006555766e-05,2.3041997337713838e-05
75,8,2,6,1.766700006555766e-05,2.9040995286777616e-05
76,8,2,8,1.766700006555766e-05,3.641700459411368e-05
77,8,2,16,1.766700006555766e-05,7.624999852851033e-05
78,8,3,1,1.6666999727021903e-05,7.999995432328433e-06
79,8,3,2,1.6666999727021903e-05,1.3582997780758888e-05
80,8,3,4,1.6666999727021903e-05,2.8665999707300216e-05
81,8,3,6,1.6666999727021903e-05,2.9958995583001524e-05
82,8,3,8,1.6666999727021903e-05,3.758300590561703e-05
83,8,3,16,1.6666999727021903e-05,6.337500235531479e-05
84,8,4,1,1.6584002878516912e-05,8.417002391070127e-06
85,8,4,2,1.6584002878516912e-05,1.4457997167482972e-05
86,8,4,4,1.6584002878516912e-05,2.1583000489044935e-05
