,size,instance,depth,diag_time,sim_time
0,6,0,1,0.40670220899482956,0.006470874999649823
1,6,0,2,0.405969916995673,0.0006754999994882382
2,6,0,4,0.40789958399545867,0.0008772500004852191
3,6,0,6,0.4092519169935258,0.0010091250005643815
4,6,0,8,0.4113192919976427,0.0012323749979259446
5,6,0,16,0.4184659999955329,0.002153458997781854
6,6,1,1,0.009103125004912727,0.0005642080068355426
7,6,1,2,0.009977499008527957,0.0005620420051855035
8,6,1,4,0.01206687400554074,0.0007378750015050173
9,6,1,6,0.013441791001241654,0.0009494999976595864
10,6,1,8,0.015186541008006316,0.0011735419975593686
11,6,1,16,0.02257420700334478,0.0020957079977961257
12,6,2,1,0.008923624001909047,0.00047599999379599467
13,6,2,2,0.009899040996970143,0.0005370419967221096
14,6,2,4,0.01175554099609144,0.0007498750055674464
15,6,2,6,0.01394999900367111,0.0009784590001800098
16,6,2,8,0.015358707998530008,0.0012050419973093085
17,6,2,16,0.02288691599824233,0.0021057089979876764
18,6,3,1,0.008724541010451503,0.0004635840014088899
19,6,3,2,0.03777783300029114,0.0006899169966345653
20,6,3,4,0.01149058300507022,0.0007428750031976961
21,6,3,6,0.013200291003158782,0.0009370830011903308
22,6,3,8,0.015246916002070066,0.0011768749973271042
23,6,3,16,0.022324875004414935,0.0021154999994905666
24,6,4,1,0.008814583001367282,0.0005072499989182688
25,6,4,2,0.009992708000936545,0.0005010000022593886
26,6,4,4,0.011619373995927162,0.000738000002456829
27,6,4,6,0.013426290999632329,0.0009749579985509627
28,6,4,8,0.015574500001093838,0.0012013750019832514
29,6,4,16,0.022785165994719137,0.0020895839988952503
30,6,5,1,0.008767624996835366,0.00048379199870396405
31,6,5,2,0.009707416000310332,0.0005047500017099082
32,6,5,4,0.011763208000047598,0.000728166000044439
33,6,5,6,0.013222374996985309,0.0009341670011053793
34,6,5,8,0.01530441700015217,0.0011758749969885685
35,6,5,16,0.022105374999227934,0.002081667000311427
36,6,6,1,0.008871666999766603,0.0004890829950454645
37,6,6,2,0.009802876003959682,0.0005005420025554486
38,6,6,4,0.01168729199707741,0.0007282919978024438
39,6,6,6,0.013811292003083508,0.0009595829978934489
40,6,6,8,0.015259167004842311,0.0012087079958291724
41,6,6,16,0.022827125001640525,0.002074791998893488
42,6,7,1,0.00908904099924257,0.0005752500001108274
43,6,7,2,0.009763124995515682,0.0005393750034272671
44,6,7,4,0.011535957994055934,0.0007215830046334304
45,6,7,6,0.013662415993167087,0.0009566250009811483
46,6,7,8,0.015064832994539756,0.0012157080054748803
47,6,7,16,0.02268062399525661,0.0021743329998571426
48,6,8,1,0.009709040998131968,0.0007050830026855692
49,6,8,2,0.011500498992973007,0.0006608750045415945
50,6,8,4,0.01256324899441097,0.0009766250004759058
51,6,8,6,0.01586966599279549,0.0015542500041192397
52,6,8,8,0.018562873992777895,0.002556957995693665
53,6,8,16,0.0866822489988408,0.0027225419980823062
54,6,9,1,0.00982116699742619,0.0005563330050790682
55,6,9,2,0.010418624995509163,0.000503041002957616
56,6,9,4,0.012717208999674767,0.0007951250008773059
57,6,9,6,0.014783749997150153,0.0012784580030711368
58,6,9,8,0.017254208003578242,0.0013762500020675361
59,6,9,16,0.024438624997856095,0.002281000000948552
60,8,0,1,0.01087004200235242,0.0007411250044242479
61,8,0,2,0.012727042005280964,0.0008875839994288981
62,8,0,4,0.015714667999418452,0.0013374999980442226
63,8,0,6,0.017369291999784764,0.0015171669947449118
64,8,0,8,0.01957145900814794,0.00184162500227103
65,8,0,16,0.028731749996950384,0.003147957999317441
66,8,1,1,0.009859333993517794,0.0005756669997936115
67,8,1,2,0.011309084002277814,0.0006165410013636574
68,8,1,4,0.013345125997147989,0.0009817499958444387
69,8,1,6,0.015734250999230426,0.0013751669976045378
70,8,1,8,0.01825429299788084,0.001658417000726331
71,8,1,16,0.027736208998248912,0.0030004159998497926
72,8,2,1,0.010167624001041986,0.000583041000936646
73,8,2,2,0.010717665994889103,0.0006422500009648502
74,8,2,4,0.01308979099849239,0.000973999995039776
75,8,2,6,0.015675290997023694,0.0012588330064318143
76,8,2,8,0.017649999994318932,0.001600957999471575
77,8,2,16,0.030711999999766704,0.0032101670003612526
78,8,3,1,0.01128279200202087,0.0006455839975387789
79,8,3,2,0.012664499998209067,0.0010363750043325126
80,8,3,4,0.01530516600178089,0.0010681249987101182
81,8,3,6,0.017434540997783188,0.00149049999890849
82,8,3,8,0.05125166699872352,0.001818667005863972
83,8,3,16,0.029819499999575783,0.0031868750011199154
84,8,4,1,0.010514625006180722,0.000653749993944075
85,8,4,2,0.011976125002547633,0.001070833000994753
86,8,4,4,0.014505916005873587,0.0011044579950976186
87,8,4,6,0.017037167002854403,0.0014351249992614612
88,8,4,8,0.018804875006026123,0.00179329099773895
89,8,4,16,0.028569000009156298,0.0030965000041760504
90,8,5,1,0.010559708003711421,0.0006378750040312298
91,8,5,2,0.011502542001835536,0.0006857089974801056
92,8,5,4,0.014262625001720153,0.0010760410004877485
93,8,5,6,0.016652625003189314,0.001382125003146939
94,8,5,8,0.018571583001175895,0.0016823749974719249
95,8,5,16,0.02842537500691833,0.002973167000163812
96,8,6,1,0.009743042006448377,0.0005934580040047877
97,8,6,2,0.01074437600618694,0.0006174579975777306
98,8,6,4,0.013454168001771905,0.0009560839971527457
99,8,6,6,0.015399042000353802,0.0012597919994732365
100,8,6,8,0.017876666999654844,0.0015869999988353811
101,8,6,16,0.027102668005682062,0.0029333330021472648
102,8,7,1,0.009459415996388998,0.0005685420037480071
103,8,7,2,0.011022957005479839,0.0006368329995893873
104,8,7,4,0.013092540997604374,0.0009449999997741543
105,8,7,6,0.015347415996075142,0.0012853750013164245
106,8,7,8,0.048018749002949335,0.00176995899528265
107,8,7,16,0.028104208002332598,0.0031018750014482066
108,8,8,1,0.010003292001783848,0.0005735419981647283
109,8,8,2,0.011138667003251612,0.0006160839984659106
110,8,8,4,0.013968833998660557,0.0009574170035193674
111,8,8,6,0.015687001003243495,0.0013151250022929162
112,8,8,8,0.018427209004585166,0.0015724159966339357
113,8,8,16,0.0276616670016665,0.003075667002121918
114,8,9,1,0.02270325000426965,0.001240625002537854
115,8,9,2,0.020150042000750545,0.001229833003890235
116,8,9,4,0.01963991700176848,0.001265334001800511
117,8,9,6,0.02500795800006017,0.0023753750065225177
118,8,9,8,0.021628041999065317,0.0018717079947236925
119,8,9,16,0.02975983299984364,0.003265333994932007
120,10,0,1,0.010496833994693588,0.0007620000033057295
121,10,0,2,0.011760166999010835,0.0009891659938148223
122,10,0,4,0.014966959002777003,0.001606458994501736
123,10,0,6,0.01836304199969163,0.002201584000431467
124,10,0,8,0.021334167002351023,0.002791415994579438
125,10,0,16,0.0624444169952767,0.004874790996836964
126,10,1,1,0.010042000001703855,0.0006317080042208545
127,10,1,2,0.011260749997745734,0.0008743750004214235
128,10,1,4,0.014037458997336216,0.0013880840051569976
129,10,1,6,0.01726125000277534,0.0020152500001131557
130,10,1,8,0.020092083999770693,0.0024947499987320043
131,10,1,16,0.03126204199361382,0.004646041998057626
132,10,2,1,0.009721709000586998,0.000600583000050392
133,10,2,2,0.010979001002851874,0.0008525829980499111
134,10,2,4,0.013789542004815303,0.0013922919970354997
135,10,2,6,0.016876751004019752,0.0019312080039526336
136,10,2,8,0.019788917001278605,0.002474749999237247
137,10,2,16,0.031006750999949872,0.004622749998816289
138,10,3,1,0.009738207998452708,0.0005908330058446154
139,10,3,2,0.010990958995535038,0.0008438750010100193
140,10,3,4,0.013819041996612214,0.001390707999235019
141,10,3,6,0.016902791991014965,0.001912708998133894
142,10,3,8,0.01985712500027148,0.0025102500003413297
143,10,3,16,0.059211291998508386,0.004845457995543256
144,10,4,1,0.009850624999671709,0.0006198330011102371
145,10,4,2,0.011177125008543953,0.0008358749983017333
146,10,4,4,0.01397354100481607,0.0013917909964220598
147,10,4,6,0.01743149900721619,0.001978291998966597
148,10,4,8,0.019981000004918315,0.0024908340055844747
149,10,4,16,0.031154124008025974,0.004663375002564862
150,10,5,1,0.00963637499808101,0.0006065000052331015
151,10,5,2,0.010994249998475425,0.0008647499998915009
152,10,5,4,0.01380616699316306,0.0013990419975016266
153,10,5,6,0.01683891699940432,0.001920832997711841
154,10,5,8,0.01969808300054865,0.0024603340061730705
155,10,5,16,0.0311065839996445,0.004755667003337294
156,10,6,1,0.009701124996354338,0.0006139580000308342
157,10,6,2,0.01105591699888464,0.0008789999992586672
158,10,6,4,0.013894540999899618,0.0013846250003552996
159,10,6,6,0.01690620800218312,0.001936041000590194
160,10,6,8,0.019842791007249616,0.002475624998623971
161,10,6,16,0.031073707999894395,0.004657416997360997
162,10,7,1,0.009637749993999023,0.0006020000000717118
163,10,7,2,0.011051292000047397,0.000872499993420206
164,10,7,4,0.01386895799805643,0.0014180419966578484
165,10,7,6,0.016895083004783373,0.0019269170006737113
166,10,7,8,0.04785079199791653,0.0026428330020280555
167,10,7,16,0.031036791995575186,0.004665332999138627
168,10,8,1,0.010645208996720612,0.0008052500052144751
169,10,8,2,0.011593625000386965,0.0009477920029894449
170,10,8,4,0.01567087599687511,0.0018773749980027787
171,10,8,6,0.018506291991798207,0.0022115829997346736
172,10,8,8,0.020913624990498647,0.0026694159969338216
173,10,8,16,0.0316054169961717,0.004714542003057431
174,10,9,1,0.009886583000479732,0.0006244579999474809
175,10,9,2,0.01136245799716562,0.0008644999979878776
176,10,9,4,0.014527667000947986,0.0013976670015836135
177,10,9,6,0.016975124992313795,0.0019249999968451448
178,10,9,8,0.020058416994288564,0.0024661250063218176
179,10,9,16,0.03128137399471598,0.004631540999980643
180,12,0,1,0.010435041003802326,0.001079916997696273
181,12,0,2,0.012144457999966107,0.0016966669936664402
182,12,0,4,0.0443070830006036,0.0032124170029419474
183,12,0,6,0.01905670700216433,0.004307124996557832
184,12,0,8,0.02238324900099542,0.005595750000793487
185,12,0,16,0.03605858300579712,0.010809250001329929
186,12,1,1,0.01029500000004191,0.0011412089952500537
187,12,1,2,0.012486291001550853,0.001859208001405932
188,12,1,4,0.015395792004710529,0.0030174999992595986
189,12,1,6,0.019002916997123975,0.004302207998989616
190,12,1,8,0.022437958999944385,0.005611915999907069
191,12,1,16,0.035692416997335386,0.010757582997030113
192,12,2,1,0.010264832999382634,0.0010790410015033558
193,12,2,2,0.011891583002579864,0.00188266699842643
194,12,2,4,0.01584579100017436,0.0030589169982704334
195,12,2,6,0.018689000004087575,0.004349208000348881
196,12,2,8,0.022326041995256674,0.0056035829984466545
197,12,2,16,0.06398220800474519,0.011180624998814892
198,12,3,1,0.010660124993592035,0.0011927080049645156
199,12,3,2,0.012744207997457124,0.0017267079965677112
200,12,3,4,0.015880541999649722,0.003084584001044277
201,12,3,6,0.019602457992732525,0.004426499996043276
202,12,3,8,0.023016166989691556,0.005727167001168709
203,12,3,16,0.03666816699114861,0.011059667005611118
204,12,4,1,0.01050345799740171,0.0010892499994952232
205,12,4,2,0.012145001004682854,0.0017332080024061725
206,12,4,4,0.01587404200108722,0.003064875003474299
207,12,4,6,0.019302583998069167,0.005633500004478265
208,12,4,8,0.027789499996288214,0.006878708998556249
209,12,4,16,0.04368462500133319,0.011281083003268577
210,12,5,1,0.010981750005157664,0.001246624997293111
211,12,5,2,0.01272525100648636,0.0017979170006583445
212,12,5,4,0.04534441700525349,0.0032348329987144098
213,12,5,6,0.01995987500413321,0.0044916660044691525
214,12,5,8,0.023029042000416666,0.005772417003754526
215,12,5,16,0.03731754200998694,0.011138250003568828
216,12,6,1,0.011054582995711826,0.0012682500018854626
217,12,6,2,0.012514415990153793,0.0020184579989290796
218,12,6,4,0.017326541994407307,0.0033838750023278408
219,12,6,6,0.020922249990690034,0.004947082998114638
220,12,6,8,0.023579624998092186,0.0058645419994718395
221,12,6,16,0.038346958986949176,0.01128016699658474
222,12,7,1,0.011054000002332032,0.0012201249992358498
223,12,7,2,0.012772292000590824,0.0017458340007578954
224,12,7,4,0.016590625993558206,0.003096332999120932
225,12,7,6,0.019660500998725183,0.004391083995869849
226,12,7,8,0.023056541998812463,0.006108624998887535
227,12,7,16,0.06744304199673934,0.011092750006355345
228,12,8,1,0.010682540996640455,0.001195333999930881
229,12,8,2,0.012177749995316844,0.0017213749961229041
230,12,8,4,0.015605124994181097,0.0030026669992366806
231,12,8,6,0.019171916996128857,0.0042905000009341165
232,12,8,8,0.02255887499632081,0.005631542000628542
233,12,8,16,0.035907249999581836,0.011028584005543962
234,12,9,1,0.010949207993689924,0.0011799999992945231
235,12,9,2,0.012668499992287252,0.0017349580011796206
236,12,9,4,0.016549624997423962,0.003081000002566725
237,12,9,6,0.01959179199184291,0.004408833003253676
238,12,9,8,0.02310199999192264,0.005672624996805098
239,12,9,16,0.03716441699361894,0.011054750000766944
240,14,0,1,0.012382457993226126,0.003604292003728915
241,14,0,2,0.014526373997796327,0.005809250003949273
242,14,0,4,0.017978457995923236,0.010321374997147359
243,14,0,6,0.022163082998304162,0.015046915999846533
244,14,0,8,0.025929707997420337,0.01958533400465967
245,14,0,16,0.06894654199277284,0.03841012500197394
246,14,1,1,0.011255958997935522,0.003258917000493966
247,14,1,2,0.013269083996419795,0.00551570799871115
248,14,1,4,0.01761787499708589,0.010269332997268066
249,14,1,6,0.021613166994939093,0.015134583998587914
250,14,1,8,0.02579733399761608,0.01988079100556206
